Pincode,Location,Latitude,Longitude
560001,"Bangalore Bazaar, Legislators Home, Dr. ambedkar veedhi, Cubban Road, Mahatma Gandhi road, Vidhana Soudha, Narayan Pillai street, Rajbhavan, Highcourt, Brigade Road, Bangalore.",12.9874849,77.6049058
560002,"Bangalore Fort, Bangalore City, Bangalore Corporation building, Basavaraja Market, Narasimjharaja Road, New Tharaggupet, Cahmrajendrapet, Sri Jayachamarajendra road, Avenue Road",12.9715987,77.5945627
560003,"Vyalikaval Extn, Malleswaram, Palace Guttahalli, Venkatarangapura, Aranya Bhavan, Swimming Pool extn",13.00835,77.56145
560004,"Pasmpamahakavi Road, Basavanagudi, Shankarpura, Lalbagh West, Visveswarapuram, Mavalli",12.9454,77.5776
560005,"Jeevanahalli, Fraser Town",13.0713,77.5905
560006,"J.C.nagar, Training Command iaf",12.9876391,77.6378619
560007,"Air Force hospital, Agram",12.958,77.639
560008,"Hulsur Bazaar, H.A.l ii stage, Someswarapura",12.97375,77.62499
560009,"K. g. road, Subhashnagar, Bangalore Dist offices bldg",12.9716257,77.5945357
560010,"Rajajinagar Ivth block, Bhashyam Circle, Rajajinagar, Industrial Estate, Rajajinagar I block",13.0178,77.55175
560011,"Madhavan Park, Jayangar Iii block",12.9301577,77.5877138
560012,Science Institute,13.0209,77.5679
560013,"Jalahalli Village, Govindapalya, H M t, Jalahalli",13.04621,77.55185
560014,Jalahalli East,13.051873,77.541561
560015,"Kamagondanahalli, Jalahalli West",13.05907,77.52379
560016,"Doorvaninagar, Krishnarajapuram R s, Ramamurthy Nagar",12.98945,77.7134
560017,"Bangalore Air port, Vimapura, Nal",12.9450618,77.6651346
560018,"Chamrajpet Bazar, Chamrajpet, Vittalnagar",12.955812,77.5633648
560019,"Gaviopuram Extension, Gaviopuram Guttanahalli, Narasimharaja Colony",12.9464722,77.5597695
560020,"Seshadripuram, K.P.west",12.990409,77.5776901
560021,"Ramachandrapuram, Gayathrinagar, Okalipuram, Srirampuram",12.9834607,77.5655142
560022,"Goraguntepalya, Yeshwanthpur Bazar, Yeswanthpura",13.03035,77.54525
560023,Magadi Road,12.96988,77.55731
560024,"Hebbal Kempapura, H.A. farm, Anandnagar",13.0398,77.59055
560025,"Museum Road, Bangalore Sub fgn post, Cmp Centre and school, Richmond Town",12.97018,77.61189
560026,"Byatarayanapura, Avalahalli, Governmemnt Electric factory, Bapujinagar, Deepanjalinagar, Goripalya",13.0609591,77.5898657
560027,"Sampangiramnagar, Shanthinagar, Wilson Garden",12.8485989,77.6836636
560028,Tyagrajnagar,12.9716107,77.5945507
560029,"Taverekere, Dharmaram College",12.9264016,77.6052699
560030,"Adugodi, Hosur Road",12.94225,77.60926
560032,"R T nagar, P&t Col. kavalbyrasandra",13.02182,77.60571
560033,"Mandalay Lines, Maruthi Sevanagar, Malkand Lines",12.99844,77.6358
560034,"Koramangala, Koramangala I block, St. john's medical college, Agara, Kendriya Sadan",12.9316666,77.6226849
560036,"Devasandra, Krishnarajapuram",13.0006361,77.6746236
560037,"Doddanekkundi, Yemalur, Rameshnagar, Kundalahalli, Marathahalli Colony",12.9512172,77.6997473
560038,"Indiranagar, Indiranagar Com. complex",12.9719025,77.6411435
560039,Nayandahalli,12.9425802,77.5232341
560040,"Chandra Lay out, Vijayanagar East, Vijayanagar",12.9725831,77.530402
560041,"Jayanagar, Tilaknagar",12.9234338,77.5860878
560042,Sivan Chetty gardens,12.98153,77.61411
560043,"Horamavu, Banaswadi, Kalyanagar, Jalavayuvihar",13.0213958,77.6573312
560045,"Arabic College, Ramakrishna Hegde nagar, Devarjeevanahalli, Venkateshapura, Nagavara",13.0388995,77.6163803
560046,Benson Town,13.00759,77.60352
560047,"Austin Town, Viveknagar",12.9523352,77.6242026
560048,"Mahadevapura, Hoodi",12.9926879,77.7137256
560049,"Thambuchetty Palya, Bidrahalli, Virgonagar, Mundur, Medihalli, Bhattarahalli",13.04948,77.74613
560050,"Banashankari, Ashoknagar, State Bank of mysore colony, Dasarahalli",12.9705247,77.6049118
560051,H.K.p. road,12.98543,77.6067
560052,Vasanthnagar,13.00835,77.5873
560053,"Chickpet, Balepete",12.9706255,77.5776951
560054,"M S r road, Msrit, Mathikere",13.0194553,77.5647987
560055,"Milk Colony, Malleswaram West",13.0084346,77.5705232
560056,"Mallathahalli, Ullalu Upanagara, Bnagalore Viswavidalaya",12.9603615,77.4967117
560058,"Peenya I stage, Peenya Ii stage, Peenya Small industries",13.0062876,77.4974416
560059,Rv Niketan,12.84346,77.43727
560061,"Chikkalasandra, Subramanyapura",12.9126251,77.5461645
560062,"Konanakunte, Doddakallasandra",12.856195,77.55297
560063,A F station yelahanka,13.1122,77.6261
560064,"Rajanakunte, Yelahanka Satellite town, Crpf Campus yelahanka, Yelahanka, Jakkur, Singanayakanahalli, Kendriya Vihar, Bsf Campus yelahanka, Wheel And axle plant, Attur",13.0631471,77.6206709
560065,G.K.v.k.,13.0713,77.5905
560066,"Jeevanbhimanagar, Whitefield, Immedihalli, Ramagondanahalli",12.9550926,77.7401849
560067,"Kadugodi, Samethanahalli, Devanagundi, Kalkunte, Naduvathi, Kannamangala, Medimallasandra",12.9894883,77.7652266
560068,"Madivala, Hongasandra, Bommanahalli",12.9211111,77.6133905
560069,Jayangar East,12.9301527,77.5877188
560070,"Yediyur, B Sk ii stage, Padmanabhnagar, Jayanagar West",12.9301537,77.5877178
560071,Domlur,12.9609917,77.6387256
560072,Nagarbhavi,12.9717494,77.5132017
560073,"Nagasandra, Bagalgunte",13.0431738,77.5002991
560074,Kumbalgodu,13.04186,77.53059
560075,New Thippasandra,12.98005,77.66033
560076,"Bannerghatta Road, Mico Layout, Mount St joseph, Hulimavu",12.8982,77.6099
560077,Kothanur,12.82265,77.61842
560078,"J P nagar, Vikramnagar, Kumaraswamy Layout, Yelachenahalli, Jp Nagar iii phase",12.89599,77.5582
560079,"Basaveshwaranagar, Kamakshipalya, K H b colony",13.00728,77.53235
560080,Sadashivanagar,13.0387114,77.5742449
560083,Bannerghatta,12.854739,77.588921
560084,"St. thomas town, Lingarajapuram, Kacharakanahalli",13.0083789,77.6306243
560085,"Girinagar, Banashankari Iii stage, Ittamadu Layout, Kathriguppe, Hosakerehalli",12.9163766,77.5361332
560086,"Avani Sringeri mutt, Mahalakshmipuram Layout, Basaveswaranagar Ii stage",13.00835,77.55175
560087,"Muthusandra, Panathur, Gunjur, Vartur",12.9417648,77.7774034
560091,Viswaneedam,12.9896684,77.4895467
560092,"Amruthahalli, Kodigehalli, Sahakaranagar P.o",13.057768,77.575519
560093,C.V.raman nagar,12.98005,77.67971
560094,"R.M.v. extension ii stage, Isro Anthariksha bhavan",13.0461,77.57115
560095,Koramangala Vi bk,12.9316726,77.6226789
560096,"Kanteeravanagar, Nandinilayout",13.0172617,77.5339813
560097,"Vidyaranyapura, Chikkabettahalli",13.0901167,77.5521792
560098,"Rajarajeshwarinagar, Kenchanahalli",12.94715,77.57888
560099,Muthanallur,12.826479,77.674239
560100,Electronics City,12.94715,77.57888
560102,Hsr Layout,12.94715,77.57888
560103,Bellandur,12.9337127,77.6621937
560104,Hampinagar,12.9623233,77.5409733
562106,"Anekalbazar, Vanakanahalli, Marsur, Anekal, Hennagara, Thammanayakanahalli, Sidihoskote, Bestamaranahalli, Indalavadi, Hulimangala, Samandur, Jigani, Harogadde","	12.708109",77.694251
562107,"Yadavanahalli, Mayasandra, Bidaraguppe, Attibele, Neralur",12.7897,77.7524
562125,"Handenahalli, Kugur, Sarjapura, Dommasandra",12.708112,77.694248
562130,"Chikkanahalli, Kadabagere, Chunchanakuppe, Tavarekere",13.27706,77.3
562149,"Doddagubbi, Kannur, Bagalur, Bandikodigehalli",13.0705843,77.6735873
562157,"Hunasamaranahalli, Doddajala, Vidyanagara, Tarahunise, Chikkajala, Bettahalsur",13.182027,77.6507399
